eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0630,0,"Mail-order books and book club sales have been hurt from online book sales.",Y,A3CMWYLWMENHLZ,D0630.M.250.C.C,0
D0630,1,"Online competition led barnesandnoble.com to sell shares to the public.",Y,A3CWW9DIL73I14,D0630.M.250.C.C,1
D0630,2,"Bookselling is changing dramatically.",Y,AC5UD8N187QD6,D0630.M.250.C.C,0
D0630,3,"Big chains are proliferating and squeezing out independent bookstores.",Y,AC5UD8N187QD6,D0630.M.250.C.C,1
D0630,4,"Independents lost half their market share in six years and many have closed.",Y,AC5UD8N187QD6,D0630.M.250.C.C,0
D0630,5,"Most books are now sold in nontraditional outlets, including discount stores and the internet.",Y,AC5UD8N187QD6,D0630.M.250.C.C,0
D0630,6,"The American Bookseller Association represents private bookstore owners.",Y,AC5UD8N187QD6,D0630.M.250.C.C,1
D0630,7,"The American Bookseller Association sponsors Book Expo, an annual convention.",Y,AC5UD8N187QD6,D0630.M.250.C.C,0
D0630,8,"The American Bookseller Association censured author Frank McCourt for participating in chainstore advertising.",Y,AC5UD8N187QD6,D0630.M.250.C.C,1
D0630,9,"Online book sales captured 2% of the market in 1999.",Y,AC5UD8N187QD6,D0630.M.250.C.C,0
D0630,10,"Independent booksellers struggle to compete against the big chain bookstores.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,11,"The major chain bookstores are Barnes & Noble, Borders, and the online retailer Amazon.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,12,"Membership in the American Bookseller Association dropped by almost half in the 1990s.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,13,"Independent booksellers held a 17 percent market share by 1999.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,14,"In 1998, Barnes & Noble acquired Ingram Book Group.",Y,AC5UD8N187QD6,D0630.M.250.C.I,1
D0630,15,"Many independent bookstores were forced to close their doors in the 1990s.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,16,"Ingram Book Group is the nation's largest distributor of books.",Y,AC5UD8N187QD6,D0630.M.250.C.I,0
D0630,17,"Independent booksellers held 17% of the market in 1999.",Y,A1L3937MY09J3I,D0630.M.250.C.I,1
D0630,18,"Book Sense is an online store for independent booksellers.",Y,A1L3937MY09J3I,D0630.M.250.C.I,0
D0630,19,"Book Sense was created by the American Bookseller Association.",Y,A1L3937MY09J3I,D0630.M.250.C.I,1
D0630,20,"Barnes & Noble attempted to acquired Ingram Book Group in 1998.",Y,A1L3937MY09J3I,D0630.M.250.C.I,0
D0630,21,"The American Book Association lost almost half of it's membership in the 1990s.",Y,A1L3937MY09J3I,D0630.M.250.C.I,0
D0630,22,"Independent booksellers have had great difficulty competing against the major chain stores.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
D0630,23,"In the 1990s, membership in the American Bookseller Association dropped by almost half.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,1
D0630,24,"The remaining membership has been devising strategies to keep businesses solvent.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
D0630,25,"The overall sale of adult trade books fell.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
D0630,26,"In 1998, Barnes & Nobel announced acquisition of  the nation's largest distributor of books.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
D0630,27,"They began an opposition campaign with appeals to the FTC, accusing Barnes & Noble of unfair trade practices.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
D0630,28,"The FTC concluded that the planned merger violated antitrust law.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,0
